Year,MSHA_ID,mine_name,mine_type,mstafips,state,county,mctyfips,lat,lon,production
2018,4801353,North Antelope Rochelle Mine,Surface,56,Wyoming,Campbell,5,43.714923,-105.183188,98315794
2018,4800977,Black Thunder,Surface,56,Wyoming,Campbell,5,42.693611,-105.266667,71134606
2018,4801337,Antelope Coal Mine,Surface,56,Wyoming,Converse,9,43.495642,-105.161619,23155741
2018,4800732,Belle Ayr Mine,Surface,56,Wyoming,Campbell,5,44.1,-105.383333,18467405
2018,4801078,Eagle Butte Mine,Surface,56,Wyoming,Campbell,5,44.516667,-105.416667,17055796
2018,1103189,Sugar Camp Mine,Underground,17,Illinois,Franklin,55,38.026944,-88.762222,14460951
2018,3200595,Freedom Mine,Surface,38,North Dakota,Mercer,57,47.5,-101.233889,14183313
2018,2401457,Spring Creek Coal Company,Surface,30,Montana,Big Horn,3,45.358333,-106.750278,13768055
2018,4801200,Buckskin Mine,Surface,56,Wyoming,Campbell,5,44.433611,-105.528611,13508689
2018,3607230,Bailey Mine,Underground,42,Pennsylvania,Greene,59,39.919627,-80.47262,12735390
2018,4800992,Cordero Rojo Mine,Surface,56,Wyoming,Campbell,5,44.066667,-105.183333,12609413
2018,4601437,Marshall County Mine,Underground,54,West Virginia,Marshall,51,39.478299,-80.486391,11433840
2018,4801034,Caballo Mine,Surface,56,Wyoming,Campbell,5,44.123394,-105.33749,11333467
2018,3607416,Enlow Fork Mine,Underground,42,Pennsylvania,Washington,125,40.074651,-80.346103,9876324
2018,1519374,River View Mine,Underground,21,Kentucky,Union,225,37.743055,-87.888333,9753472
2018,4800993,Rawhide Mine,Surface,56,Wyoming,Campbell,5,44.21,-105.32,9504750
2018,4104586,Kosse Strip,Surface,48,Texas,Limestone,293,31.2825,-96.495277,8683043
2018,2401747,Rosebud Mine & Crusher/Conveyo,Surface,30,Montana,Rosebud,87,45.879153,-106.6517,8392830
2018,3200491,Falkirk Mine,Surface,38,North Dakota,Mclean,55,47.127145,-101.69132,8231213
