unique_id,state,plant_name,utility_name,utility_id,county_code,county_name,latitude,longitude,fuel_type,nameplate_capacity,generation_mwh,emissions_tons
11805,WY,Chokecherry and Sierra Madre Wind,Power Company of Wyoming LLC,58842,7,Carbon,41.683056,-107.2,WIND,3000,,
11858,WY,TB Flats,PacifiCorp,14354,7,Carbon,42.177245,-106.234141,WIND,503,,
11840,WY,Old Faithful,NorthWestern Energy,13902,39,Teton,44.4533,-110.8347,OIL,2,148,141
11830,WY,Lake (WY),NorthWestern Energy,13902,39,Teton,44.415,-110.5739,OIL,3,146,143
11790,WY,Barber Creek,Basin Electric Power Coop,1307,5,Campbell,43.7219,-105.7689,GAS,23,133,151
11789,WY,Arvada,Basin Electric Power Coop,1307,33,Sheridan,44.69,-106.1092,GAS,23,156,187
11825,WY,Hartzog,Basin Electric Power Coop,1307,5,Campbell,43.8294,-105.5322,GAS,23,231,207
11810,WY,Ekola Flats,PacifiCorp,14354,7,Carbon,41.932405,-106.35843,WIND,251,,
11846,WY,Roundhouse Wind Energy Project,"Roundhouse Renewable Energy, LLC",62913,21,Laramie,41.095126,-105.107423,WIND,226,,
11802,WY,Cedar Springs II,"Cedar Springs Transmission, LLC",63581,9,Converse,42.969007,-105.365616,WIND,200,,
11801,WY,Cedar Springs I,"Cedar Springs Wind, LLC",63580,9,Converse,43.019714,-105.472139,WIND,200,,
11859,WY,Top of the World Windpower Project,Duke Energy Top Of the World WindPower,56682,9,Converse,42.9258,-105.7872,WIND,200,548878,
11822,WY,Glenrock,PacifiCorp,14354,9,Converse,43.0181,-105.835278,WIND,166,382964,
11852,WY,Simplot Phosphates,Simplot Phosphates LLC,16968,37,Sweetwater,41.5417,-109.1328,OTHF,12,80704,1781
11848,WY,Seven Mile Hill,PacifiCorp,14354,7,Carbon,41.9203,-106.3758,WIND,146,385943,
11860,WY,TransAlta Wyoming Wind,NextEra Energy Operating Services LLC,58528,41,Uinta,41.2874,-110.5556,WIND,144,343458,
11803,WY,Cedar Springs III,"Cedar Springs Wind III, LLC",63582,9,Converse,43.076692,-105.584352,WIND,133,,
11827,WY,High Plains,PacifiCorp,14354,1,Albany,41.675052,-106.011124,WIND,122,235562,
11853,WY,Sinclair Oil Refinery,Sinclair Oil Corp,24205,7,Carbon,41.77952,-107.10972,OFSL,8,8753,2976
11811,WY,Elk Basin Gasoline Plant,Vanguard Natural Resources LLC,56079,29,Park,44.9806,-108.8428,OFSL,3,9186,2996
11845,WY,Rolling Hills,PacifiCorp,14354,9,Converse,43.0572,-105.8543,WIND,116,267528,
11809,WY,Dunlap,PacifiCorp,14354,7,Carbon,42.043611,-106.160278,WIND,111,384833,
11799,WY,Campbell Hill Windpower,Duke Energy DEGS Campbell Hill,56378,9,Converse,43.01455,-105.999,WIND,99,323963,
11856,WY,Sweetwater Solar,Sweetwater Solar LLC,61005,37,Sweetwater,41.629056,-109.683472,SOLAR,92,180138,
11796,WY,Boswell Wind IV,"Boswell Wind Project IV, LLC",61036,1,Albany,41.912,-105.752,WIND,80,,
11795,WY,Boswell Wind III,"Boswell Wind Project III, LLC",61035,1,Albany,41.923,-105.792,WIND,80,,
11794,WY,Boswell Wind II,"Boswell Wind Project II, LLC",61034,1,Albany,41.869,-105.832,WIND,80,,
11793,WY,Boswell Wind I,"Boswell Wind Project I, LLC",61033,1,Albany,41.919,-105.869,WIND,80,,
11834,WY,Mountain Wind Power II LLC,NRG Energy Gas & Wind Holdings Inc,59883,41,Uinta,41.263889,-110.544444,WIND,80,198886,
11843,WY,"Pioneer Wind Park, LLC","Sustainable Power Group, LLC",58661,9,Converse,42.728198,-105.866765,WIND,80,282137,
11839,WY,Neil Simpson II (CT2),"Black Hills Power, Inc. d/b/a",19545,5,Campbell,44.285,-105.3786,GAS,40,16426,10738
11791,WY,Beaver Creek Gas Plant,Devon Energy Production Co,5199,13,Fremont,42.8475,-108.3136,GAS,6,30435,10955
11817,WY,Fremont Canyon,U S Bureau of Reclamation,2518,25,Natrona,42.4766,-106.795901,HYDRO,67,201867,
11835,WY,Mountain Wind Power LLC,NRG Energy Gas & Wind Holdings Inc,59883,41,Uinta,41.288056,-110.480741,WIND,61,158608,
11792,WY,Big Sand Draw Plant,Devon Energy Production Co,5199,13,Fremont,42.7527,-108.1697,GAS,8,26685,16301
11806,WY,Corriedale Wind Energy,Black Hills Service Company LLC,56771,21,Laramie,41.1133,-104.984011,WIND,53,,
11847,WY,Seminoe,U S Bureau of Reclamation,2518,7,Carbon,42.156127,-106.908483,HYDRO,52,141205,
