plant_id,sector,plant_state,generator_id,nameplate_capacity_mw,summer_capacity_mw,technology,generation_type,operating_year,retirement_year_or_planned,status,latitude,longitude
2497,IPP Non-CHP,NY,2,1299,1011.5,Nuclear,Nuclear,1973,2020,Retired,41.270556,-73.9527
1378,Electric Utility,KY,3,1150.2,971,Conventional Steam Coal,Coal,1970,2020,Retired,37.2608,-86.9783
360,Electric Utility,CA,2,1127,1070,Nuclear,Nuclear,1983,2013,Retired,33.368794,-117.5549
360,Electric Utility,CA,3,1127,1080,Nuclear,Nuclear,1984,2013,Retired,33.368794,-117.5549
8011,IPP Non-CHP,PA,1,980.8,802.8,Nuclear,Nuclear,1974,2019,Retired,40.1515,-76.7232
6043,Electric Utility,FL,1,934.5,826,Petroleum Liquids,Oil,1980,2018,Retired,27.0536,-80.5628
6043,Electric Utility,FL,2,934.5,826,Petroleum Liquids,Oil,1981,2018,Retired,27.0536,-80.5628
6094,IPP Non-CHP,PA,1,913.7,830,Conventional Steam Coal,Coal,1976,2019,Retired,40.6348,-80.4159
6094,IPP Non-CHP,PA,2,913.7,830,Conventional Steam Coal,Coal,1977,2019,Retired,40.6348,-80.4159
6094,IPP Non-CHP,PA,3,913.7,830,Conventional Steam Coal,Coal,1980,2019,Retired,40.6348,-80.4159
628,Electric Utility,FL,3,890.4,860,Nuclear,Nuclear,1977,2013,Retired,28.9656,-82.6977
2491,Electric Utility,NY,6,883,847,Petroleum Liquids,Oil,1977,2010,Retired,40.776389,-73.91083
3804,Electric Utility,VA,5,882,786,Petroleum Liquids,Oil,1975,2020,Retired,38.5367,-77.2806
2840,IPP Non-CHP,OH,4,841.5,780,Conventional Steam Coal,Coal,1973,2020,Retired,40.1842,-81.8811
2341,Electric Utility,NV,1,818.1,790,Conventional Steam Coal,Coal,1971,2012,Retired,35.1458,-114.5917
2341,Electric Utility,NV,2,818.1,790,Conventional Steam Coal,Coal,1971,2012,Retired,35.1458,-114.5917
1353,Electric Utility,KY,2,816.3,800,Conventional Steam Coal,Coal,1969,2015,Retired,38.1707,-82.6176
4941,Electric Utility,AZ,NAV1,803.1,750,Conventional Steam Coal,Coal,1974,2019,Retired,36.9047,-111.3886
4941,Electric Utility,AZ,NAV2,803.1,750,Conventional Steam Coal,Coal,1975,2019,Retired,36.9047,-111.3886
4941,Electric Utility,AZ,NAV3,803.1,750,Conventional Steam Coal,Coal,1976,2019,Retired,36.9047,-111.3886
8063,IPP Non-CHP,TX,1,799.2,771,Natural Gas Steam Turbine,Natural Gas,1975,2013,Retired,32.403056,-97.70056
6147,IPP Non-CHP,TX,3,793.2,795,Conventional Steam Coal,Coal,1995,2018,Retired,33.0917,-95.0417
8,Electric Utility,AL,10,788.8,727.7,Conventional Steam Coal,Coal,1972,2019,Retired,33.644344,-87.19649
2050,Electric Utility,MS,2,783,530.7,Natural Gas Steam Turbine,Natural Gas,1971,2018,Retired,32.2831,-90.9306
3466,IPP Non-CHP,TX,4,765,737,Natural Gas Steam Turbine,Natural Gas,1973,2009,Retired,29.486667,-94.97944
3460,IPP Non-CHP,TX,3,765,760,Natural Gas Steam Turbine,Natural Gas,1974,2007,Retired,29.75,-94.9256
