year,emissions,
1973,1206274000,
1974,1185239000,
1975,1180733000,
1976,1265646000,
1977,1299545000,
1978,1298098000,
1979,1409790000,
1980,1435200000,
1981,1484245000,
1982,1432231000,
1983,1487528000,
1984,1597944000,
1985,1637136000,
1986,1617302000,
1987,1690785000,
1988,1774678000,
1989,1795049000,
1990,1821142000,
1991,1807022000,
1992,1822982000,
1993,1882647000,
1994,1893240000,
1995,1913115000,
1996,1995483000,
1997,2039934000,
1998,2064741000,
1999,2062682000,
2000,2155807000,
2001,2088292000,
2002,2093926000,
2003,2134995000,
2004,2159530000,
2005,2181275000,
2006,2147077000,
2007,2172370000,
2008,2139740000,
2009,1875735000,
2010,1985866000,
2011,1875481000,
2012,1656979000,
2013,1717530000,
2014,1713613000,
2015,1480390000,
2016,1354217000,
2017,1316027000,
2018,1260185000,
2019,1075868000,
2020,873484000,
